Period,Dynasty,Reign
,,
Edo period (1615–1868),,
Qing dynasty (1644–1911),,
late Ming dynasty (1368–1644),,
Ming (1368–1644) or Qing (1644–1911) dynasty,,
Ming dynasty (1368–1644),,
Ming dynasty (1368–1644) or later,,
Ming (1368–1644) or Qing dynasty (1644–1911),,
Ming (1368–1644)–Qing (1644–1911) dynasty,,
late Ming (1368–1644)–early Qing (1644–1911) dynasty,,
late Yuan (1271–1368)–early Ming (1368–1644) dynasty,,
Southern Song dynasty (1127–1279),,
Song dynasty (960–1279),,
Yuan dynasty (1271–1368),,
Goryeo dynasty (918–1392),,
Southern Song (1127–1279) or Yuan (1271–1368) dynasty,,
Dali kingdom (938–1253),,
Song dynasty (960–1279,,
Yuan (1271–1368)–Ming (1368–1644) dynasty,,
Meiji period (1868–1912),,
"Ming (1368–1644) or Qing dynasty (1644–1911); or Japan, Edo period (1603–1868)",,
Northern Song (960–1127)–Jin (1115–1234) dynasty,,
Heian period (794–1185),,
Muromachi (1392–1573) or Momoyama period (1573–1615),,
Kamakura period (1185–1333),,
Shōwa period (1926–89),,
"Qing dynasty (1644–1911), Qianlong period (1736–95)",,
Nanbokuchō period (1336–92),,
Qing dynasty (1644–1911) or Republic period (1912–49),,
Republic period (1912–49),,
Yuan (1271–1368) or Ming (1368–1644) dynasty,,
Tang dynasty (618–907),,
"Neolithic, late Dawenkou–early Longshan culture (2400–1900 B.C.)",,
Western Han dynasty (206 B.C.–A.D. 9),,
Liao dynasty (907–1125),,
"Eastern Zhou dynasty, Warring States period (475–221 B.C.)",,
"Neolithic period, late Dawenkou culture",,
Joseon dynasty (1392–1910),,
Western Zhou dynasty (1046–771 B.C.),,
late Unified Silla (676–935)–early Goryeo (918–1392),,
Ming (1368–1644) and Qing (1644–1911) dynasties,,
Chola period,,
Pala period,,
Early period,,
Bronze and Iron Age period,,
Middle period,,
Central Javanese period,,
Eastern Javanese period,,
Central or Eastern Javanese period,,
Singasari period,,
Late period,,
Angkor period,,
early Sukhothai period,,
Thakuri-Malla periods,,
Polonnaruva period,,
post Gupta period,,
late Neolithic period,,
Thakuri period,,
Late Neolithic period,,
late Chiangsaen period,,
Ratanakosin period,,
Gupta period,,
Eastern Janvanese period,,
Kushan or early Gupta period,,
Sukhothai period,,
Majapahit period (1296–1520),,
Bronze and Iron Age,,
Viet-Han period,,
"Bronze and Iron Age period, Dongson culture",,
Early Rajput -Chaurapanchasika style,,
Early Rajput-Chaurapanchasika style,,
Sultanate period,,
Karnata-Malla period,,
"Early Malla period, dated the month of Phalguna (likely) 443 NS",,
Thakuri–early Malla periods,,
Mughal,,
late Ayudhya period,,
Shunga period,,
Mauryan period,,
Mauryan,,
Kushan period,,
Sena dynasty,,
Pandyan period (early 4th–13th century),,
Pandya dynasty,,
Chola period (880–1279),,
Eastern Ganga dynasty,,
Western Chalukyan period,,
Kakatiya period,,
