Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
W. T. Copeland and Sons,,1847,2002,
Cristalleries de Saint-Louis,,,9999,
"Dalzell, Gilmore and Leighton",American,1885,1898,
Eoff and Phyfe,,1841,1850,
Baldwin & Co.,American,1842,1860,
T. G. Hawkes and Company,American,,9999,
"Hobbs, Brockunier and Company",American,1863,1891,
Jervis Pottery,American,1908,1912,
William P. Jervis,"American, born England",1851,1925,
Chauncey Johnson,American,1822,1841,
Cornelius Kierstede,American,1674,1760,
Jesse Kip,American,1660,1722,
"Knowles, Taylor, and Knowles",American,1870,1929,
Marcus and Co.,American,1892,1942,
Clara Chipman Newton,,1848,1936,Female
Robert Palethorp Jr.,American,1797,1822,
Providence Flint Glass Works,American,1830,1833,
Kataro Shirayamadani,"American, born Japan",1865,1948,
Rookwood Pottery Company,American,1880,1967,
Stevens and Williams,,,9999,
Arthur J. Stone,American,1847,1938,
Philip Syng Jr.,American,1703,1789,
Tiffany Furnaces,American,,9999,
Stourbridge Glass Company,American,,9999,
W. T.,,,9999,
Albert R. Valentien,American,1862,1925,
Whiting Manufacturing Company,American,1866,1926,
Isaac N. Youngs,,1793,1865,
Gorham Manufacturing Company,American,1831,9999,
Union Porcelain Works,American,1863,1922,
C. Dorflinger and Sons,American,1881,1921,
Henry Bucher,American,,9999,
William Buell,American,1631,1681,
Charles Nicolas Cochin II,French,1715,1790,
Joseph Siffred Duplessis,French,1725,1802,
Christian Selzer,American,1777,1800,
John Thurston,American,1607,1685,
Marie Zimmermann,American,1879,1972,Female
Seraphim Masi,American,1819,1852,
Jervis McEntee,American,1828,1891,
Stephen Van Wyck,American,,9999,
Henry Leighton,American,,9999,
Gerardus Boyce,American,1795,1880,
"Griffen, Smith and Hill",American,1880,1889,
Augustus Welby Northmore Pugin,British,1812,1852,
Minton and Company,American,1793,2002,
Noritake,,1904,9999,
Unger Brothers,,1872,1919,
James Horton Whitehouse,,1833,1902,
Eugene J. Soligny,American,1832,1901,
Augustus Saint-Gaudens,American,1848,1907,
Theodore B. Starr,American,1837,1907,
John Townsend,American,1732,1809,
Richards and Hartley Flint Glass Co.,American,1867,1890,
William Forbes,American,1826,1863,
Thomas Hamersley,American,1727,1781,
T. K.,American,,9999,
Waterbury Button Company,American,,,
Stephen A. Fish,American,,9999,
Daniel Pabst,"American, born Germany",1826,1910,
Charles Tisch,American,1867,1889,
Beth Benton Sutherland,American,1898,1972,Female
